City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
580,Kununurra,AU,-15.7667,128.7333,93.18,18,5,14.97,clear sky
581,Ust-Nera,RU,64.5667,143.2,43.36,36,18,5.99,few clouds
582,Sete,FR,43.4018,3.6966,71.64,87,100,8.81,light rain
583,Channel-Port Aux Basques,CA,47.5702,-59.1367,60.31,82,18,7.76,few clouds
584,Tocopilla,CL,-22.092,-70.1979,58.78,75,53,1.66,broken clouds
585,Nadvoitsy,RU,63.8667,34.3167,48.2,85,99,12.55,overcast clouds
586,Bayir,TR,37.2687,28.2167,61.63,70,0,1.97,clear sky
587,Tikhvin,RU,59.6451,33.5294,56.52,92,100,8.81,overcast clouds
588,Susanville,US,40.4163,-120.653,66.81,34,1,3.0,clear sky
589,Killybegs,IE,54.6333,-8.45,62.46,98,100,5.17,overcast clouds
590,Roma,US,43.2128,-75.4557,65.12,95,40,0.0,scattered clouds
591,Half Moon Bay,US,37.4636,-122.4286,79.9,81,1,0.0,clear sky
592,Yaan,NG,7.3833,8.5667,72.41,96,99,3.4,overcast clouds
593,Monrovia,LR,6.3005,-10.7969,77.38,89,100,6.24,light rain
594,Petatlan,MX,17.5167,-101.2667,75.6,94,92,3.11,overcast clouds
595,Bonthe,SL,7.5264,-12.505,76.6,92,100,4.81,light rain
596,Vangaindrano,MG,-23.35,47.6,68.81,77,0,6.29,clear sky
597,Kabo,CF,7.6994,18.629,69.89,96,94,1.97,overcast clouds
598,Dire,ML,12.2833,-10.9667,75.07,94,99,1.59,overcast clouds
599,Antofagasta,CL,-23.65,-70.4,55.47,84,25,0.69,scattered clouds
600,Methoni,GR,36.8197,21.7049,69.22,72,47,5.68,scattered clouds
601,Qurayyat,SA,31.3318,37.3428,76.44,32,0,10.83,clear sky
602,San Juan,AR,-31.5375,-68.5364,49.01,56,0,12.35,clear sky
603,Anzio,IT,41.4853,12.6179,68.97,82,2,6.2,clear sky
604,Dandong,CN,40.1292,124.3947,76.21,67,42,12.35,scattered clouds
605,Yairipok,IN,24.6667,94.0667,85.17,61,32,1.66,scattered clouds
606,North Charleston,US,32.8886,-80.0075,74.93,96,75,4.61,broken clouds
607,Kachiry,KZ,53.0675,76.1036,57.51,42,12,18.05,few clouds
608,Blackwater,AU,-23.5833,148.8833,80.1,25,1,12.86,clear sky
609,Shubarshi,KZ,48.5872,57.1869,61.59,33,100,8.95,overcast clouds
610,Grand Gaube,MU,-20.0064,57.6608,72.37,74,6,5.99,clear sky
611,Fairview,US,40.8126,-73.999,76.23,79,75,11.99,thunderstorm
612,Belyy Yar,RU,53.6039,91.3903,62.49,82,40,2.24,light intensity shower rain
613,Cooma,AU,-36.2333,149.1333,60.57,33,60,19.57,broken clouds
614,Worland,US,44.0169,-107.9554,80.6,39,1,6.91,clear sky
615,Bethanien,NA,-26.502,17.1583,53.47,19,0,4.32,clear sky
616,Marsa Matruh,EG,31.3525,27.2453,76.69,74,0,7.14,clear sky
617,Karatsu,JP,33.4425,129.9697,85.89,65,37,11.83,scattered clouds
618,Mount Pleasant,US,32.7941,-79.8626,75.0,97,20,8.01,mist
619,Pasighat,IN,28.0667,95.3333,89.67,58,92,3.4,overcast clouds
620,Goulburn,AU,-34.75,149.7167,62.58,71,86,19.24,overcast clouds
621,Andenes,NO,69.3143,16.1194,46.38,81,75,12.66,broken clouds
622,Esso,RU,55.9333,158.7,41.23,63,50,9.42,scattered clouds
623,Chapais,CA,49.7834,-74.8492,50.83,97,43,5.66,scattered clouds
624,Uige,AO,-7.6087,15.0613,67.08,97,64,2.46,broken clouds
625,Ouahigouya,BF,13.5828,-2.4216,76.17,75,100,4.14,overcast clouds
626,Kawalu,ID,-7.3817,108.2082,84.45,50,96,7.29,overcast clouds
627,Varkkallai,IN,8.7341,76.7067,83.98,70,56,8.84,broken clouds
628,Bonfim,BR,3.0833,-59.95,77.22,75,56,6.06,broken clouds
629,Dombarovskiy,RU,50.7587,59.5386,60.21,43,97,13.22,overcast clouds
630,Bayanday,RU,53.0661,105.5139,59.61,31,1,5.44,clear sky
631,Serafimovich,RU,49.5786,42.736,59.92,38,2,9.28,clear sky
632,Vila,PT,42.0304,-8.1588,56.28,94,100,3.58,overcast clouds
633,Galesong,ID,-5.3166,119.3661,87.82,61,65,6.04,broken clouds
634,Kaliganj,BD,23.4095,89.1402,87.53,69,87,4.61,overcast clouds
635,Santa Ana,US,33.7456,-117.8678,88.99,85,75,3.44,mist
636,Huilong,CN,31.8111,121.655,84.04,79,89,12.93,overcast clouds
637,Kenai,US,60.5544,-151.2583,53.02,93,90,0.0,light rain
638,Barcelos,PT,41.5388,-8.6151,66.34,96,98,3.56,overcast clouds
639,Koslan,RU,63.4564,48.8989,48.47,95,100,9.95,overcast clouds
640,Atasu,KZ,48.6814,71.6433,54.27,35,0,4.59,clear sky
641,Goundi,TD,9.3627,17.366,71.46,96,79,3.2,broken clouds
642,Skjervoy,NO,70.0311,20.9714,48.2,91,100,10.47,light rain
643,Dospat,BG,41.65,24.1667,44.98,83,94,4.23,overcast clouds
644,Watsa,CD,3.0372,29.5355,65.07,95,96,1.36,overcast clouds
645,Port Keats,AU,-14.25,129.55,92.77,28,9,1.59,clear sky
646,Bayevo,RU,53.2833,80.7667,59.65,30,10,18.57,clear sky
647,Beringovskiy,RU,63.05,179.3167,42.6,67,85,7.54,overcast clouds
648,Svetlogorsk,BY,52.6333,29.7333,53.15,76,13,5.21,few clouds
649,Lanzhou,CN,36.0564,103.7922,78.28,28,6,1.77,clear sky
650,Golden,US,39.7555,-105.2211,70.5,42,58,4.99,broken clouds
651,High Rock,BS,26.6208,-78.2833,77.02,70,4,8.25,clear sky
652,Mechetinskaya,RU,46.7713,40.456,60.6,58,0,6.24,clear sky
653,Kuah,MY,6.3265,99.8432,77.23,84,100,1.7,overcast clouds
654,Skibbereen,IE,51.55,-9.2667,60.6,98,100,1.25,overcast clouds
655,Palmer,US,42.1584,-72.3287,74.01,70,90,3.44,overcast clouds
656,La Tuque,CA,47.4334,-72.7824,58.95,97,93,7.61,moderate rain
657,Takoradi,GH,4.8845,-1.7554,75.34,94,29,5.5,scattered clouds
658,Mocuba,MZ,-16.8392,36.9856,72.54,78,0,1.86,clear sky
659,Aksu,CN,41.1231,80.2644,86.25,12,0,4.83,clear sky
660,Jiujiang,CN,29.7333,115.9833,89.02,59,15,4.54,few clouds
