City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Saint-Georges,GD,2021-09-09 04:07:02,12.0564,-61.7485,81.95,79,100,14.47
125,Verkhoyansk,RU,2021-09-09 04:07:03,67.5447,133.385,44.91,43,13,1.83
126,Rawson,AR,2021-09-09 04:07:03,-43.3002,-65.1023,49.82,77,0,17.07
127,Salalah,OM,2021-09-09 04:07:03,17.0151,54.0924,78.89,100,90,5.75
128,Khatanga,RU,2021-09-09 04:07:04,71.9667,102.5,60.87,60,91,10.22
129,Port Alfred,ZA,2021-09-09 04:07:04,-33.5906,26.891,56.84,80,91,4.99
130,Sao Borja,BR,2021-09-09 04:07:04,-28.6606,-56.0044,52.95,85,0,8.61
131,Talnakh,RU,2021-09-09 04:07:05,69.4865,88.3972,48.27,94,100,5.17
132,Port-Gentil,GA,2021-09-09 04:07:05,-0.7193,8.7815,76.6,83,89,13.62
133,Kanashevo,RU,2021-09-09 04:07:05,55.2169,62.0634,52.36,68,97,12.88
134,Saumur,FR,2021-09-09 04:07:06,47.3333,-0.25,63.9,95,70,6.78
135,Makambako,TZ,2021-09-09 04:07:06,-8.8453,34.823,55.22,87,62,11.79
136,Pechenga,RU,2021-09-09 04:07:07,69.5259,31.1703,41.86,84,88,12.44
137,Garden City,US,2021-09-09 04:07:07,42.3256,-83.331,65.86,69,40,10.36
138,Hami,CN,2021-09-09 04:07:07,42.8,93.45,86.43,11,0,4.52
139,Beyneu,KZ,2021-09-09 04:07:08,45.3167,55.2,61.0,24,1,6.08
140,Batangafo,CF,2021-09-09 04:07:09,7.3008,18.2833,69.39,97,69,1.66
141,Vila Franca Do Campo,PT,2021-09-09 04:07:09,37.7167,-25.4333,72.01,87,9,4.34
142,Barra Patuca,HN,2021-09-09 04:07:10,15.8,-84.2833,80.92,84,33,8.97
143,Montenegro,ME,2021-09-09 04:07:10,42.5,19.3,60.55,55,40,1.14
